Category,Year,Month,precip_mm
Iran,1984,3,102.2319
Turkiye,1984,3,55.28177
India,1984,4,21.796198
India,1984,4,0.0
India,1984,4,0.0
Pakistan,1984,4,14.270014
Bangladesh,1984,4,82.60714
Nepal,1984,4,0.0
SriLanka,1984,4,160.48938
Thailand,1984,4,85.05488
VietNam,1984,4,50.925766
Indonesia,1984,4,259.53076
Philippines,1984,4,138.37036
Myanmar,1984,4,45.831715
Cambodia,1984,4,207.85602
China,1984,4,32.269073
China,1984,4,29.31023
China,1984,4,145.35378
Japan,1984,4,86.76039
Kazakhstan,1984,4,10.88228
Iran,1984,4,60.07251
Turkiye,1984,4,38.291664
India,1985,2,0.0
India,1985,2,0.0
India,1985,2,0.5294623
Pakistan,1985,2,0.0
Bangladesh,1985,2,13.626406
Nepal,1985,2,0.0
SriLanka,1985,2,105.67032
Thailand,1985,2,5.491364
VietNam,1985,2,16.21911
Indonesia,1985,2,313.2157
Philippines,1985,2,0.0
Myanmar,1985,2,8.13391
Cambodia,1985,2,0.32909226
China,1985,2,39.27576
China,1985,2,17.687332
China,1985,2,73.84036
Japan,1985,2,222.33926
Kazakhstan,1985,2,85.69799
Iran,1985,2,17.74366
Turkiye,1985,2,49.080395
India,1985,3,10.818362
India,1985,3,0.14262167
India,1985,3,0.0
Pakistan,1985,3,12.566406
Bangladesh,1985,3,90.45955
Nepal,1985,3,0.0
SriLanka,1985,3,69.29155
Thailand,1985,3,15.256866
VietNam,1985,3,15.271557
Indonesia,1985,3,358.94757
Philippines,1985,3,35.32046
Myanmar,1985,3,0.56394666
Cambodia,1985,3,42.238895
China,1985,3,67.247375
China,1985,3,9.306068
China,1985,3,156.91716
Japan,1985,3,141.94962
Kazakhstan,1985,3,7.964455
Iran,1985,3,35.826218
Turkiye,1985,3,60.736282
India,1985,4,6.704151
India,1985,4,0.0
India,1985,4,0.0
Pakistan,1985,4,0.0
Bangladesh,1985,4,59.26451
Nepal,1985,4,4.7430115
SriLanka,1985,4,80.64548
Thailand,1985,4,91.60974
VietNam,1985,4,149.03365
Indonesia,1985,4,282.11664
Philippines,1985,4,141.62698
Myanmar,1985,4,22.337719
Cambodia,1985,4,235.7494
China,1985,4,20.17489
China,1985,4,44.903194
China,1985,4,115.51628
Japan,1985,4,147.2567
Kazakhstan,1985,4,64.7032
Iran,1985,4,35.584854
Turkiye,1985,4,5.1012344
India,1986,2,0.0
India,1986,2,0.0
India,1986,2,1.5296162
Pakistan,1986,2,3.7442894
Bangladesh,1986,2,18.193382
Nepal,1986,2,32.194447
SriLanka,1986,2,14.176777
Thailand,1986,2,6.0856028
VietNam,1986,2,0.0
Indonesia,1986,2,286.72394
Philippines,1986,2,0.0
Myanmar,1986,2,1.2968981
Cambodia,1986,2,10.999875
China,1986,2,1.7261312
China,1986,2,0.0
China,1986,2,21.718342
Japan,1986,2,28.28344
Kazakhstan,1986,2,32.752186
Iran,1986,2,71.90935
Turkiye,1986,2,49.90834
India,1986,3,38.417706
India,1986,3,0.13679738
India,1986,3,0.0
Pakistan,1986,3,14.782212
Bangladesh,1986,3,12.586477
Nepal,1986,3,0.0
SriLanka,1986,3,129.09216
Thailand,1986,3,0.8575705
VietNam,1986,3,0.0
Indonesia,1986,3,520.75366
Philippines,1986,3,0.07505739
Myanmar,1986,3,0.5664044
Cambodia,1986,3,13.196089
China,1986,3,26.668253
China,1986,3,4.5795116
China,1986,3,165.77997
Japan,1986,3,115.68952
Kazakhstan,1986,3,10.090376
Iran,1986,3,47.276333
Turkiye,1986,3,12.4034195
India,1986,4,9.7756815
India,1986,4,18.59235
India,1986,4,0.00044090906
Pakistan,1986,4,14.190685
Bangladesh,1986,4,252.51704
Nepal,1986,4,32.23153
SriLanka,1986,4,114.81467
Thailand,1986,4,64.08822
VietNam,1986,4,14.454662
Indonesia,1986,4,512.69604
Philippines,1986,4,14.441553
Myanmar,1986,4,0.6736264
Cambodia,1986,4,115.58857
China,1986,4,9.968904
China,1986,4,29.354746
China,1986,4,152.16202
Japan,1986,4,63.443886
Kazakhstan,1986,4,17.011068
Iran,1986,4,53.515926
Turkiye,1986,4,34.967674
India,1987,2,9.634601
India,1987,2,0.0
India,1987,2,1.5486711
Pakistan,1987,2,29.663761
Bangladesh,1987,2,11.071227
Nepal,1987,2,0.0
SriLanka,1987,2,6.0645795
Thailand,1987,2,9.478007
VietNam,1987,2,0.0
Indonesia,1987,2,284.7092
Philippines,1987,2,0.0
Myanmar,1987,2,1.2997923
Cambodia,1987,2,0.9790193
China,1987,2,9.395288
China,1987,2,0.79356325
China,1987,2,95.523224
Japan,1987,2,149.13907
Kazakhstan,1987,2,16.580648
Iran,1987,2,34.15527
Turkiye,1987,2,20.160162
India,1987,3,38.396004
India,1987,3,2.7159677
India,1987,3,9.07493
Pakistan,1987,3,57.52874
Bangladesh,1987,3,71.72238
Nepal,1987,3,1.6405487
SriLanka,1987,3,39.19964
Thailand,1987,3,16.075956
VietNam,1987,3,1.3746617
Indonesia,1987,3,204.35583
Philippines,1987,3,4.4471545
Myanmar,1987,3,0.42065883
Cambodia,1987,3,28.400955
China,1987,3,21.702908
China,1987,3,21.58085
China,1987,3,140.233
Japan,1987,3,116.44318
Kazakhstan,1987,3,14.954998
Iran,1987,3,79.15219
Turkiye,1987,3,57.373928
India,1987,4,19.991846
India,1987,4,0.0
India,1987,4,0.0
Pakistan,1987,4,0.0
Bangladesh,1987,4,165.29178
Nepal,1987,4,0.0
SriLanka,1987,4,193.76216
Thailand,1987,4,78.254
VietNam,1987,4,16.105026
Indonesia,1987,4,65.29156
Philippines,1987,4,24.070633
Myanmar,1987,4,8.006256
Cambodia,1987,4,83.04178
China,1987,4,27.448141
China,1987,4,13.774942
China,1987,4,179.00113
Japan,1987,4,21.599594
Kazakhstan,1987,4,45.516273
Iran,1987,4,29.93996
Turkiye,1987,4,29.5767
India,1988,2,19.312632
India,1988,2,35.442776
India,1988,2,0.570627
Pakistan,1988,2,22.797182
Bangladesh,1988,2,98.69969
Nepal,1988,2,6.0133424
SriLanka,1988,2,28.202324
Thailand,1988,2,10.44188
VietNam,1988,2,25.416374
Indonesia,1988,2,369.9958
Philippines,1988,2,17.9422
Myanmar,1988,2,0.95852774
Cambodia,1988,2,13.249631
China,1988,2,24.829704
China,1988,2,7.1689463
China,1988,2,135.75407
Japan,1988,2,52.4476
Kazakhstan,1988,2,3.6237178
Iran,1988,2,64.76064
Turkiye,1988,2,47.7433
India,1988,3,49.435345
India,1988,3,36.72127
India,1988,3,0.0
Pakistan,1988,3,66.28033
Bangladesh,1988,3,77.28525
Nepal,1988,3,11.900711
SriLanka,1988,3,58.11496
Thailand,1988,3,1.7694237
VietNam,1988,3,0.0
Indonesia,1988,3,403.16086
Philippines,1988,3,0.062320195
Myanmar,1988,3,0.56546694
Cambodia,1988,3,25.763367
China,1988,3,30.954365
China,1988,3,0.0
China,1988,3,51.47246
Japan,1988,3,82.598724
Kazakhstan,1988,3,27.22779
Iran,1988,3,57.290924
Turkiye,1988,3,18.747974
India,1988,4,10.500322
India,1988,4,0.0
India,1988,4,4.599431
Pakistan,1988,4,6.2256813
Bangladesh,1988,4,168.84573
Nepal,1988,4,9.277701
SriLanka,1988,4,284.54193
Thailand,1988,4,101.23511
VietNam,1988,4,14.769714
Indonesia,1988,4,127.122826
Philippines,1988,4,113.678665
Myanmar,1988,4,18.484442
Cambodia,1988,4,237.71747
