Area Code,Area Code (M49),Area,Months Code,Months,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F,Y2023,Y2023F,Y2024,Y2024F,Y2025,Y2025F
"2","'004","Afghanistan","7006","June","7271","Temperature change","°C","-0.115000","E","-1.143000","E","1.122000","E","-0.565000","E","-0.513000","E","1.257000","E","-0.750000","E","0.245000","E","-0.338000","E","0.471000","E","1.671000","E","-0.457000","E","2.024000","E","-0.342000","E","0.033000","E","-0.529000","E","1.354000","E","0.610000","E","0.002000","E","0.544000","E","-0.536000","E","-0.107000","E","0.318000","E","1.077000","E","1.203000","E","0.340000","E","-0.792000","E","0.911000","E","0.152000","E","1.225000","E","0.073000","E","0.345000","E","0.224000","E","1.107000","E","0.645000","E","0.314000","E","0.364000","E","-0.419000","E","0.886000","E","0.279000","E","1.723000","E","1.202000","E","0.476000","E","1.043000","E","0.756000","E","0.623000","E","0.989000","E","2.828000","E","-1.287000","E","0.641000","E","2.570000","E","0.394000","E","1.887000","E","1.477000","E","1.321000","E","1.656000","E","2.084000","E","1.863000","E","-0.308000","E","1.052000","E","2.254000","E","0.978000","E","2.090000","E","1.715000","E","2.282000","E"
"2","'004","Afghanistan","7006","June","6078","Standard Deviation","°C","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E","0.927000","E"
"2","'004","Afghanistan","7007","July","7271","Temperature change","°C","0.856000","E","0.264000","E","0.342000","E","-0.167000","E","0.092000","E","-0.308000","E","0.303000","E","-0.287000","E","-0.063000","E","-0.568000","E","0.073000","E","-1.660000","E","0.433000","E","0.361000","E","-0.032000","E","0.652000","E","0.727000","E","-0.332000","E","0.598000","E","0.476000","E","0.113000","E","-0.547000","E","0.602000","E","0.537000","E","1.221000","E","-0.179000","E","-0.532000","E","1.012000","E","-0.273000","E","0.230000","E","0.306000","E","-0.282000","E","-0.220000","E","0.595000","E","1.080000","E","0.140000","E","1.488000","E","0.911000","E","0.330000","E","-0.033000","E","0.603000","E","0.091000","E","1.195000","E","0.270000","E","0.851000","E","1.102000","E","0.232000","E","1.219000","E","0.247000","E","0.584000","E","0.591000","E","1.041000","E","1.103000","E","0.684000","E","1.112000","E","1.118000","E","0.964000","E","1.846000","E","1.963000","E","0.767000","E","1.664000","E","1.026000","E","1.516000","E","2.126000","E","2.197000","E"
"2","'004","Afghanistan","7007","July","6078","Standard Deviation","°C","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E","0.591000","E"
"2","'004","Afghanistan","7008","August","7271","Temperature change","°C","0.383000","E","-0.228000","E","0.088000","E","0.650000","E","-0.706000","E","0.076000","E","0.039000","E","-0.174000","E","-0.477000","E","1.844000","E","0.235000","E","-2.141000","E","0.739000","E","-0.671000","E","0.378000","E","0.151000","E","0.215000","E","-0.304000","E","-0.767000","E","0.174000","E","-0.204000","E","-0.122000","E","1.425000","E","1.597000","E","-0.216000","E","-0.503000","E","1.284000","E","0.133000","E","-0.196000","E","1.288000","E","0.291000","E","-0.785000","E","-0.300000","E","1.712000","E","1.227000","E","-0.016000","E","0.328000","E","1.171000","E","1.200000","E","0.744000","E","0.637000","E","1.441000","E","0.811000","E","0.790000","E","0.370000","E","1.138000","E","0.488000","E","0.765000","E","1.651000","E","0.604000","E","2.026000","E","1.441000","E","0.854000","E","0.696000","E","0.657000","E","0.351000","E","0.217000","E","1.109000","E","0.833000","E","1.389000","E","0.823000","E","-0.524000","E","1.286000","E","2.254000","E","2.232000","E"
"2","'004","Afghanistan","7008","August","6078","Standard Deviation","°C","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E","0.767000","E"
"2","'004","Afghanistan","7009","September","7271","Temperature change","°C","1.447000","E","-1.794000","E","0.158000","E","-0.277000","E","-0.683000","E","-0.364000","E","0.579000","E","-0.279000","E","-0.890000","E","-0.012000","E","-0.864000","E","-0.695000","E","0.001000","E","-0.247000","E","0.368000","E","0.603000","E","-0.231000","E","0.533000","E","0.237000","E","0.057000","E","-0.209000","E","-1.209000","E","1.253000","E","-0.890000","E","0.224000","E","0.145000","E","1.101000","E","0.626000","E","0.268000","E","1.452000","E","0.614000","E","-0.935000","E","1.119000","E","-2.044000","E","0.252000","E","1.636000","E","1.104000","E","1.167000","E","1.383000","E","1.308000","E","0.321000","E","0.407000","E","0.767000","E","1.190000","E","2.123000","E","0.489000","E","0.669000","E","1.259000","E","1.398000","E","0.096000","E","1.456000","E","0.601000","E","2.552000","E","2.147000","E","0.147000","E","3.059000","E","1.027000","E","1.109000","E","2.123000","E","-0.378000","E","2.399000","E","2.042000","E","1.411000","E","2.182000","E","2.551000","E"
"2","'004","Afghanistan","7009","September","6078","Standard Deviation","°C","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E","0.832000","E"
"2","'004","Afghanistan","7010","October","7271","Temperature change","°C","-1.128000","E","-0.996000","E","1.643000","E","-2.863000","E","2.183000","E","-0.339000","E","-0.823000","E","-0.649000","E","1.065000","E","0.504000","E","-0.207000","E","-0.255000","E","0.285000","E","-1.935000","E","-0.502000","E","0.543000","E","1.249000","E","0.587000","E","2.361000","E","0.780000","E","-1.338000","E","0.267000","E","-0.076000","E","-1.131000","E","-0.430000","E","1.079000","E","-1.532000","E","-0.121000","E","1.021000","E","0.437000","E","-0.201000","E","-0.400000","E","-1.350000","E","-0.578000","E","0.262000","E","-0.094000","E","1.085000","E","1.322000","E","1.584000","E","0.891000","E","1.018000","E","2.509000","E","1.576000","E","-0.874000","E","1.297000","E","3.960000","E","-1.515000","E","2.004000","E","0.189000","E","3.067000","E","1.388000","E","0.956000","E","1.761000","E","0.980000","E","1.915000","E","0.932000","E","2.057000","E","-0.189000","E","1.284000","E","-1.239000","E","-0.624000","E","1.405000","E","2.734000","E","3.165000","E","2.475000","E"
"2","'004","Afghanistan","7010","October","6078","Standard Deviation","°C","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E","1.311000","E"
