Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD11A2_061_Line_Y_1km,MYD11A2_061_Sample_X_1km,MYD11A2_061_LST_Day_1km,MYD11A2_061_QC_Day,MYD11A2_061_QC_Day_bitmask,MYD11A2_061_QC_Day_MODLAND,MYD11A2_061_QC_Day_MODLAND_Description,MYD11A2_061_QC_Day_Data_Quality_flag,MYD11A2_061_QC_Day_Data_Quality_flag_Description,MYD11A2_061_QC_Day_Emis_Error_flag,MYD11A2_061_QC_Day_Emis_Error_flag_Description,MYD11A2_061_QC_Day_LST_Error_Flag,MYD11A2_061_QC_Day_LST_Error_Flag_Description
Bangladesh,5,24.0,90.0,2003-01-09,h26v06,719.0,266.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2003-01-17,h26v06,719.0,266.0,298.98,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2003-01-25,h26v06,719.0,266.0,299.5,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Bangladesh,5,24.0,90.0,2003-02-02,h26v06,719.0,266.0,301.36,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Bangladesh,5,24.0,90.0,2003-02-10,h26v06,719.0,266.0,301.6,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2003-02-18,h26v06,719.0,266.0,302.82,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2003-02-26,h26v06,719.0,266.0,303.98,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2003-03-06,h26v06,719.0,266.0,302.8,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2003-03-14,h26v06,719.0,266.0,301.88,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2003-03-22,h26v06,719.0,266.0,303.64,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2003-03-30,h26v06,719.0,266.0,302.46,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2003-04-07,h26v06,719.0,266.0,306.34,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2003-04-15,h26v06,719.0,266.0,303.04,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
